epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.669,2.28498,2.0985,1.45766,0.52773,0.46728,0.44233,0.20708,1.77186,1.2055,1.16841,0.0700241,0.00333066,0.00333066
2,516.518,2.15503,1.79405,1.36013,0.55079,0.47164,0.45022,0.21378,1.76412,1.29098,1.18033,0.0399581,0.00659802,0.00659802
3,808.259,2.2011,1.83304,1.37791,0.49198,0.43246,0.4212,0.19269,1.8114,1.33898,1.21768,0.00982613,0.00979938,0.00979938
4,1047.98,2.2057,1.83839,1.38785,0.56131,0.45154,0.45373,0.21696,1.75445,1.24496,1.1886,0.009703,0.009703,0.009703
5,1232.55,2.10235,1.73068,1.34059,0.59464,0.50754,0.52514,0.25845,1.67557,1.16918,1.15522,0.009604,0.009604,0.009604
6,1515.08,2.04157,1.66477,1.31279,0.60655,0.54499,0.54553,0.27227,1.63604,1.1198,1.1462,0.009505,0.009505,0.009505
7,1742.42,1.97639,1.60739,1.28416,0.65221,0.53331,0.56938,0.28707,1.63559,1.12531,1.14422,0.009406,0.009406,0.009406
8,1973.47,1.93424,1.56446,1.26599,0.58406,0.55082,0.54863,0.2825,1.60697,1.08705,1.12984,0.009307,0.009307,0.009307
9,2206.01,1.88474,1.52445,1.24678,0.63437,0.56288,0.59054,0.30996,1.57409,1.03646,1.11542,0.009208,0.009208,0.009208
10,2562.62,1.84151,1.48772,1.2263,0.65901,0.56277,0.59918,0.31259,1.55461,1.02875,1.10159,0.009109,0.009109,0.009109
11,3090.34,1.81868,1.46333,1.21681,0.65406,0.57493,0.58884,0.31029,1.56812,1.0315,1.10478,0.00901,0.00901,0.00901
12,3671.13,1.78856,1.43656,1.2048,0.69446,0.58929,0.63082,0.3364,1.53603,0.98722,1.09028,0.008911,0.008911,0.008911
13,4222.97,1.76402,1.41937,1.19364,0.65511,0.60743,0.61795,0.32789,1.53984,0.99899,1.09391,0.008812,0.008812,0.008812
14,4827.87,1.73605,1.39462,1.18133,0.68723,0.62981,0.64402,0.34014,1.51722,0.95399,1.08692,0.008713,0.008713,0.008713
15,5415.1,1.71087,1.37436,1.17199,0.70881,0.61389,0.65304,0.35084,1.51439,0.94381,1.08684,0.008614,0.008614,0.008614
16,6106.74,1.69654,1.35604,1.16456,0.71086,0.62799,0.66462,0.35245,1.50377,0.9235,1.08026,0.008515,0.008515,0.008515
17,6844.06,1.67337,1.34054,1.15325,0.6677,0.63189,0.65463,0.34905,1.49692,0.9264,1.07344,0.008416,0.008416,0.008416
18,7018.87,1.66826,1.34075,1.15382,0.69563,0.6416,0.66794,0.36376,1.47789,0.89641,1.06755,0.008317,0.008317,0.008317
19,7398.15,1.64399,1.3207,1.14518,0.70866,0.63372,0.66163,0.35445,1.48098,0.90378,1.07394,0.008218,0.008218,0.008218
20,7814.66,1.63126,1.30884,1.14063,0.72448,0.6622,0.68694,0.37294,1.4643,0.8879,1.06401,0.008119,0.008119,0.008119
21,8246.66,1.61826,1.30221,1.1342,0.6986,0.65065,0.68296,0.36996,1.45963,0.87959,1.05843,0.00802,0.00802,0.00802
22,8667.5,1.60535,1.29281,1.12807,0.70044,0.65648,0.68799,0.37785,1.4532,0.87828,1.05792,0.007921,0.007921,0.007921
23,9247.39,1.59475,1.28369,1.12423,0.72882,0.65367,0.68541,0.37368,1.44568,0.8696,1.05452,0.007822,0.007822,0.007822
24,15320.4,1.57658,1.26501,1.1159,0.73745,0.66297,0.69223,0.38118,1.4349,0.86087,1.05007,0.007723,0.007723,0.007723
25,15576.5,1.56635,1.25785,1.11188,0.72537,0.66591,0.69277,0.37861,1.4371,0.85376,1.05021,0.007624,0.007624,0.007624
26,15896.9,1.55509,1.24836,1.10691,0.72703,0.66448,0.70027,0.38403,1.4372,0.8451,1.04856,0.007525,0.007525,0.007525
27,16085.5,1.54824,1.24615,1.1036,0.7231,0.66876,0.69929,0.38717,1.43059,0.8492,1.04679,0.007426,0.007426,0.007426
28,16285.6,1.54263,1.24559,1.10126,0.7231,0.66708,0.70168,0.38799,1.43081,0.84991,1.04753,0.007327,0.007327,0.007327
29,16486.7,1.52357,1.2295,1.09581,0.7013,0.6884,0.70344,0.3907,1.42375,0.84243,1.04256,0.007228,0.007228,0.007228
30,16697.3,1.51962,1.22723,1.09349,0.71857,0.67725,0.70182,0.38837,1.41884,0.83881,1.04102,0.007129,0.007129,0.007129
31,16907.8,1.50192,1.21715,1.08799,0.71552,0.68034,0.70535,0.39205,1.41757,0.83397,1.04158,0.00703,0.00703,0.00703
32,17120.1,1.504,1.21456,1.08615,0.72666,0.66914,0.70633,0.39486,1.41432,0.82881,1.03912,0.006931,0.006931,0.006931
33,17331.3,1.4877,1.19966,1.08063,0.73429,0.67244,0.70874,0.39597,1.40884,0.82325,1.03709,0.006832,0.006832,0.006832
34,17542.5,1.48414,1.20098,1.07972,0.7209,0.68725,0.71013,0.39766,1.412,0.82124,1.03832,0.006733,0.006733,0.006733
